ref_pmid	assess_pmid	relevance
28693630	25943119	2
28693630	26280459	2
28693630	27955714	2
28693630	28063736	2
28693630	28274148	2
28693630	17945442	1
28693630	18242678	1
28693630	22898494	1
28693630	24912867	1
28693630	26952753	1
28693630	27448692	1
29343732	18766982	2
29343732	19651613	2
29343732	20819516	2
29343732	20840335	2
29343732	21458537	2
29343732	22759909	2
29343732	22928000	2
29343732	23221317	2
29343732	23422198	2
29343732	23483978	2
29343732	23555827	2
29343732	23874307	2
29343732	24035535	2
29343732	25071576	2
29343732	25446365	2
29343732	25567427	2
29343732	25796007	2
29343732	26110109	2
29343732	26204262	2
29343732	26727534	2
29343732	26995747	2
29343732	27306727	2
29343732	27699148	2
29343732	28045460	2
29343732	28157550	2
29343732	28881072	2
29343732	28940758	2
29343732	29016710	2
29343732	29159061	2
29343732	19110062	1
29343732	19850134	1
29343732	20226799	1
29343732	20417285	1
29343732	20421978	1
29343732	20700385	1
29343732	21710223	1
29343732	22938826	1
29343732	24124739	1
29343732	24275197	1
29343732	24505434	1
29343732	24862297	1
29343732	25189680	1
29343732	25490131	1
29343732	25731128	1
29343732	25874164	1
29343732	26586145	1
29343732	27242474	1
29343732	27459031	1
29343732	28620215	1
29343732	29427365	1
29343732	22404034	0
29343732	23777938	0
29343732	28729830	0
29468054	17967852	2
29468054	18090864	2
29468054	18697570	2
29468054	19610522	2
29468054	20095126	2
29468054	20214581	2
29468054	20364755	2
29468054	21963417	2
29468054	22076775	2
29468054	22203557	2
29468054	22439788	2
29468054	23040680	2
29468054	23629712	2
29468054	23844154	2
29468054	23893999	2
29468054	24066905	2
29468054	24363708	2
29468054	24759427	2
29468054	24995175	2
29468054	25091384	2
29468054	25129332	2
29468054	25134769	2
29468054	25241696	2
29468054	25897961	2
29468054	26086336	2
29468054	26862383	2
29468054	26958825	2
29468054	27148197	2
29468054	27721280	2
29468054	27761077	2
29468054	27856079	2
29468054	27899152	2
29468054	28235706	2
29468054	28572795	2
29468054	28577932	2
29468054	28598310	2
29468054	28742812	2
29468054	28899514	2
29468054	29342216	2
29468054	18830185	1
29468054	20524468	1
29468054	22044289	1
29468054	22170937	1
29468054	22541390	1
29468054	25756992	1
29468054	25950954	1
29468054	26004734	1
29468054	26178302	1
29468054	26709182	1
29468054	26990514	1
29468054	27339028	1
29468054	27506613	1
29468054	27809969	1
29468054	28221858	1
29468054	28483959	1
29468054	28757721	1
22749424	20416054	2
22749424	21646885	2
22749424	22312227	2
22749424	22400978	2
22749424	22827170	2
22749424	23272770	2
22749424	23645538	2
22749424	23703463	2
22749424	23770027	2
22749424	23786709	2
22749424	23920809	2
22749424	24152578	2
22749424	24947420	2
22749424	25087539	2
22749424	26210430	2
22749424	26358850	2
22749424	27081411	2
22749424	27334723	2
22749424	27501930	2
22749424	28963091	2
22749424	29025847	2
22749424	29315323	2
22749424	19192329	1
25982388	18043867	2
25982388	18597886	2
25982388	19335997	2
25982388	19918083	2
25982388	21124907	2
25982388	21127008	2
25982388	21459850	2
25982388	21501624	2
25982388	21802991	2
25982388	22429745	2
25982388	22436024	2
25982388	22658674	2
25982388	23124862	2
25982388	23390605	2
25982388	23415593	2
25982388	23439364	2
25982388	23583633	2
25982388	24123256	2
25982388	24410894	2
25982388	25150170	2
25982388	25201102	2
25982388	25316157	2
25982388	25534245	2
25982388	25572935	2
25982388	25824884	2
25982388	26100984	2
25982388	26210853	2
25982388	26632259	2
25982388	26675803	2
25982388	26734617	2
25982388	26972534	2
25982388	27352301	2
25982388	27452465	2
25982388	27748060	2
25982388	28381614	2
25982388	28478905	2
25982388	29023197	2
25982388	29348497	2
25982388	29518673	2
25982388	22708492	1
25982388	23633940	1
25982388	26562439	1
25982388	21726451	0
24691813	18461475	2
24691813	19728163	2
24691813	23074991	2
24691813	24189836	2
24691813	24497005	2
24691813	26818458	2
24691813	28707850	2
24691813	20832883	1
24691813	25473861	1
24691813	25721113	1
24691813	25792615	1
24691813	26987696	1
24691813	27357575	1
24691813	27472787	1
24691813	27752963	1
24691813	29282423	1
24691813	29773610	1
24691813	17899450	0
24691813	19597969	0
24691813	19634409	0
24691813	19739883	0
24691813	20844979	0
24691813	21104334	0
24691813	21611821	0
24691813	21761243	0
24691813	22160812	0
24691813	22212360	0
24691813	22371032	0
24691813	22711449	0
24691813	22895636	0
24691813	22950730	0
24691813	23065537	0
24691813	23149672	0
24691813	23307623	0
24691813	23338793	0
24691813	23338794	0
24691813	23409954	0
24691813	24297092	0
24691813	24500762	0
24691813	24718714	0
24691813	25319836	0
24691813	25431220	0
24691813	25481713	0
24691813	25574263	0
24691813	26063945	0
24691813	26671254	0
24691813	27225037	0
24691813	27565151	0
24691813	28050246	0
24691813	28095097	0
24691813	28421331	0
24691813	28799199	0
24691813	29569171	0
24691813	18461475	2
24691813	19915957	2
24691813	23074991	2
24691813	24189836	2
24691813	24497005	2
24691813	26818458	2
24691813	28707850	2
24691813	20832883	1
24691813	22740074	1
24691813	25473861	1
24691813	27357575	1
24691813	27472787	1
24691813	29773610	1
24691813	17899450	0
24691813	19597969	0
24691813	19634409	0
24691813	19722107	0
24691813	19739883	0
24691813	20521175	0
24691813	20536764	0
24691813	20844979	0
24691813	21104334	0
24691813	21611821	0
24691813	21761243	0
24691813	22160812	0
24691813	22212360	0
24691813	22371032	0
24691813	22711449	0
24691813	22895636	0
24691813	22950730	0
24691813	23065537	0
24691813	23149672	0
24691813	23307623	0
24691813	23338793	0
24691813	23409954	0
24691813	24297092	0
24691813	24500762	0
24691813	24718714	0
24691813	25319836	0
24691813	25431220	0
24691813	25481713	0
24691813	25574263	0
24691813	26063945	0
24691813	26563216	0
24691813	26671254	0
24691813	27225037	0
24691813	28050246	0
24691813	28095097	0
24691813	28421331	0
24691813	28799199	0
24691813	29569171	0
24691813	29805153	0
29468192	18258662	2
29468192	18480368	2
29468192	18687898	2
29468192	19052205	2
29468192	19109913	2
29468192	19171653	2
29468192	19369569	2
29468192	20152805	2
29468192	21049488	2
29468192	22031895	2
29468192	23297303	2
29468192	23316138	2
29468192	24550783	2
29468192	25394682	2
29468192	26657943	2
29468192	28785728	2
29468192	17847078	1
29468192	19130314	1
29468192	19294647	1
29468192	20472133	1
29468192	20881117	1
29468192	21360593	1
29468192	22633895	1
29468192	25031412	1
29468192	25122902	1
29468192	26482541	1
29468192	27282393	1
29468192	28495975	1
29468192	18398849	0
29468192	19183490	0
29468192	19244539	0
29468192	19917081	0
29468192	22368777	0
29468192	23852115	0
29468192	23933204	0
29468192	24550458	0
29468192	25044969	0
29468192	25600212	0
29468192	25979366	0
29468192	27098696	0
29468192	28083896	0
29468192	28188217	0
29468192	29240824	0
24112409	19076294	2
24112409	19121041	2
24112409	19146660	2
24112409	19204817	2
24112409	19459974	2
24112409	20042628	2
24112409	20626276	2
24112409	21564968	2
24112409	21590418	2
24112409	21949797	2
24112409	22454494	2
24112409	22786784	2
24112409	23028445	2
24112409	23350562	2
24112409	24428124	2
24112409	24980130	2
24112409	25430816	2
24112409	25802363	2
24112409	26553774	2
24112409	26929438	2
24112409	27481788	2
24112409	27742092	2
24112409	27760854	2
24112409	27829306	2
24112409	28228107	2
24112409	29036529	2
24112409	29559822	2
24112409	19799325	1
24112409	21434928	1
24112409	22483047	1
24112409	22615827	1
24112409	23172022	1
24112409	23269555	1
24112409	24502833	1
24112409	24663345	1
24112409	25399310	1
24112409	26287723	1
24112409	27692487	1
24112409	28578827	1
24112409	29084279	1
24112409	28229023	0
29538408	19266099	2
29538408	19706890	2
29538408	21972118	2
29538408	22872698	2
29538408	23226281	2
29538408	26427460	2
29538408	27876464	2
29538408	20696157	0
29538408	24096137	0
29538408	24641099	0
29538408	25136343	0
29538408	25374570	0
29538408	26742038	0
29538408	26893367	0
29538408	26980205	0
29538408	27219060	0
29538408	27626032	0
29538408	27731391	0
29538408	27754746	0
29538408	28068409	0
29538408	28143451	0
29538408	28324860	0
29538408	28471327	0
29538408	28673066	0
29538408	28684664	0
29538408	28783104	0
29538408	29099035	0
29538408	29158817	0
29538408	29222644	0
29538408	29270416	0
17052726	18556015	2
17052726	18754353	2
17052726	19012896	2
17052726	19712995	2
17052726	20206939	2
17052726	23266025	2
17052726	24183437	2
17052726	24580854	2
17052726	27922184	2
17052726	28453963	2
17052726	28724988	2
17052726	29560457	2
17052726	29705642	2
17052726	18160074	1
17052726	18573377	1
17052726	19544864	1
17052726	19848121	1
17052726	19848122	1
17052726	22840576	1
17052726	25114214	1
17052726	27591646	1
17052726	27776464	1
17052726	19064084	0
17052726	19111357	0
17052726	19321187	0
17052726	19428178	0
17052726	19544055	0
17052726	20354802	0
17052726	21390524	0
17052726	22037789	0
17052726	22664255	0
17052726	22882830	0
17052726	23082815	0
17052726	23705457	0
17052726	26595776	0
17052726	27382676	0
17052726	28715740	0
29463761	18082130	2
29463761	18652833	2
29463761	19850023	2
29463761	20028138	2
29463761	20809134	2
29463761	20825482	2
29463761	20833722	2
29463761	21103355	2
29463761	21547992	2
29463761	23978448	2
29463761	25216354	2
29463761	25822798	2
29463761	27207249	2
29463761	27757696	2
29463761	27807620	2
29463761	28521938	2
29463761	28747745	2
29463761	18070104	1
29463761	18254727	1
29463761	19341346	1
29463761	19943197	1
29463761	20085654	1
29463761	20498853	1
29463761	20945528	1
29463761	20945530	1
29463761	21147969	1
29463761	21440551	1
29463761	21510947	1
29463761	22281184	1
29463761	22387478	1
29463761	24043848	1
29463761	24594978	1
29463761	24651535	1
29463761	24846336	1
29463761	25868548	1
29463761	26504577	1
29463761	27496166	1
29337987	25429733	2
29337987	26248089	2
29337987	25352148	1
29337987	27328773	1
29337987	29449169	1
29337987	18591935	0
29337987	18632633	0
29337987	18794900	0
29337987	19609274	0
29337987	20581239	0
29337987	21205878	0
29337987	21317929	0
29337987	22115830	0
29337987	22494971	0
29337987	22509309	0
29337987	22912335	0
29337987	23159080	0
29337987	23208495	0
29337987	23520519	0
29337987	23583560	0
29337987	23796566	0
29337987	23840886	0
29337987	23901349	0
29337987	24240237	0
29337987	24487055	0
29337987	24727894	0
29337987	24846398	0
29337987	24874735	0
29337987	25003996	0
29337987	25383957	0
29337987	25500543	0
29337987	25571954	0
29337987	26034209	0
29337987	26137160	0
29337987	26165840	0
29337987	26455321	0
29337987	26505794	0
29337987	26528816	0
29337987	26804172	0
29337987	26910283	0
29337987	26992223	0
29337987	27037061	0
29337987	27302922	0
29337987	27338550	0
29337987	28117551	0
29337987	28179481	0
29337987	28578586	0
29337987	28659575	0
29337987	28916833	0
29337987	29045831	0
29337987	29050273	0
29337987	29080197	0
29337987	29137318	0
29337987	29304823	0
29337987	29331389	0
29337987	29374067	0
29337987	29380230	0
29337987	29654741	0
29515464	18420712	2
29515464	18436816	2
29515464	21629436	2
29515464	27322952	2
29515464	22094963	1
29515464	22436237	1
29515464	22992674	1
29515464	24647690	1
29515464	25834072	1
29515464	26912969	1
29515464	27779669	1
29515464	18005224	0
29515464	18272672	0
29515464	18318434	0
29515464	18372240	0
29515464	19790078	0
29515464	20467327	0
29515464	21191666	0
29515464	21457438	0
29515464	21767575	0
29515464	21851375	0
29515464	22096360	0
29515464	22313861	0
29515464	22314077	0
29515464	22641113	0
29515464	22703875	0
29515464	22941914	0
29515464	23236370	0
29515464	23496965	0
29515464	23591825	0
29515464	24048682	0
29515464	24142708	0
29515464	24757153	0
29515464	24793818	0
29515464	25223801	0
29515464	25234616	0
29515464	25271595	0
29515464	25452308	0
29515464	25461350	0
29515464	25666088	0
29515464	26048613	0
29515464	26155190	0
29515464	26165138	0
29515464	26475133	0
29515464	26789595	0
29515464	27213506	0
29515464	27421105	0
29515464	27609978	0
29515464	27800152	0
29515464	27941330	0
29515464	28743103	0
29515464	29161657	0
29515464	29446054	0
29515464	29767264	0
29409529	28478401	2
29409529	29440315	2
29409529	18478089	1
29409529	19355895	1
29409529	20061390	1
29409529	20452131	1
29409529	20952439	1
29409529	22322297	1
29409529	22694981	1
29409529	23470623	1
29409529	23526221	1
29409529	24276150	1
29409529	24921217	1
29409529	25435076	1
29409529	26138239	1
29409529	26391253	1
29409529	27112840	1
29409529	27439438	1
29409529	27549302	1
29409529	28115285	1
29409529	22815997	0
29409529	23043074	0
29409529	23087019	0
29409529	24762191	0
29409529	27080864	0
29409529	27717887	0
29409529	28722352	0
29409529	29609658	0
27182007	25810553	2
27182007	26063424	2
27182007	27043071	2
27182007	27795430	2
27182007	19046509	1
27182007	19216435	1
27182007	19657705	1
27182007	19729182	1
27182007	21470447	1
27182007	21549789	1
27182007	23049728	1
27182007	23428670	1
27182007	23689892	1
27182007	24877766	1
27182007	25505073	1
27182007	26589145	1
27182007	27521231	1
27182007	27770755	1
27182007	27782090	1
27182007	28489063	1
27182007	28691128	1
27182007	29254837	1
27182007	18199647	0
27182007	23248852	0
27182007	26104842	0
27182007	27612954	0
27182007	27898335	0
27182007	28381576	0
27182007	28612010	0
27182007	28688785	0
27182007	29551143	0
29562181	19940160	2
29562181	20308326	2
29562181	22195967	2
29562181	25122681	2
29562181	26886795	2
29562181	27175900	2
29562181	29507182	2
29562181	18596940	1
29562181	19056732	1
29562181	22345516	1
29562181	24074826	1
29562181	25645928	1
29562181	27185874	1
29562181	29341856	1
29562181	21352493	0
29562181	21515579	0
29562181	22291956	0
29562181	25180929	0
29562181	26381409	0
29562181	28196871	0
29495486	19901993	2
29495486	20616783	2
29495486	22171009	2
29495486	22874671	2
29495486	28513534	2
29495486	21359096	1
29495486	21838689	1
29495486	24045702	1
29495486	25371168	1
29495486	26473367	1
29495486	27563707	1
29495486	18729475	0
29495486	19246617	0
29495486	20374747	0
29495486	20511235	0
29495486	20831659	0
29495486	21318142	0
29495486	21761818	0
29495486	21781116	0
29495486	21838684	0
29495486	21838693	0
29495486	21839787	0
29495486	21848510	0
29495486	22949878	0
29495486	23270374	0
29495486	23523887	0
29495486	23563807	0
29495486	23632375	0
29495486	23748593	0
29495486	23838792	0
29495486	24205340	0
29495486	24566672	0
29495486	24871565	0
29495486	24938205	0
29495486	25093706	0
29495486	25430795	0
29495486	26336938	0
29495486	26731546	0
29495486	26984473	0
29495486	27091578	0
29495486	27173394	0
29495486	27236559	0
29495486	27298205	0
29495486	28218835	0
29495486	28454652	0
29495486	28730438	0
29495486	29019683	0
29495486	29297663	0
29495486	29311465	0
29495486	29413905	0
29416016	21095248	2
29416016	22187000	2
29416016	22465415	2
29416016	22942726	2
29416016	25173700	2
29416016	25437200	2
29416016	27102156	2
29416016	28385648	2
29416016	28540665	2
29416016	18793137	1
29416016	19216901	1
29416016	19860662	1
29416016	20833817	1
29416016	22496691	1
29416016	22575893	1
29416016	25404089	1
29416016	26077705	1
29416016	26295309	1
29416016	26489461	1
29416016	28428740	1
29416016	29514050	1
29416016	19363305	0
29416016	21617129	0
29416016	22917563	0
29416016	24714637	0
29416016	25991666	0
29416016	26139607	0
29416016	27248356	0
29416016	28980850	0
27554589	19366616	2
27554589	19475567	2
27554589	19666823	2
27554589	20098743	2
27554589	21097841	2
27554589	21809467	2
27554589	23470634	2
27554589	23537994	2
27554589	26450120	2
27554589	29603589	2
27554589	29788979	2
27554589	18068224	1
27554589	18327763	1
27554589	18506771	1
27554589	19211552	1
27554589	19393221	1
27554589	19452545	1
27554589	20047593	1
27554589	20150915	1
27554589	20174467	1
27554589	21268180	1
27554589	21527633	1
27554589	21937870	1
27554589	22927092	1
27554589	23329829	1
27554589	23376641	1
27554589	24755266	1
27554589	24904058	1
27554589	25948585	1
27554589	26528715	1
27554589	19100278	0
27554589	21544580	0
27554589	23650548	0
27554589	24922546	0
26157431	19554038	2
26157431	21169444	2
26157431	21604374	2
26157431	21906220	2
26157431	22268428	2
26157431	22671536	2
26157431	25001073	2
26157431	25072413	2
26157431	25331462	2
26157431	25713563	2
26157431	25737483	2
26157431	25983730	2
26157431	26310431	2
26157431	26931608	2
26157431	27464604	2
26157431	28290203	2
26157431	28724401	2
26157431	26002894	1
26157431	27158229	1
26157431	28008548	1
26157431	28232827	1
26157431	29094129	1
26157431	29334064	1
26157431	29742123	1
26157431	18248441	0
26157431	18418729	0
26157431	20064769	0
26157431	20085629	0
26157431	21431770	0
26157431	21533256	0
26157431	22039404	0
26157431	22525886	0
26157431	22719234	0
26157431	23604403	0
26157431	24134431	0
26157431	24570371	0
26157431	24757212	0
26157431	24939220	0
26157431	25512025	0
26157431	25624713	0
26157431	26428248	0
26157431	26870044	0
26157431	27148170	0
26157431	27845426	0
26157431	27898265	0
26157431	28144631	0
26157431	28373145	0
26157431	28547376	0
26157431	29454931	0
29620527	18426774	2
29620527	18599789	2
29620527	18971928	2
29620527	19148099	2
29620527	19199680	2
29620527	19878681	2
29620527	21797294	2
29620527	22680496	2
29620527	23277568	2
29620527	24245660	2
29620527	24297885	2
29620527	26880542	2
29620527	27152816	2
29620527	29078346	2
29620527	29321280	2
29620527	29321282	2
29620527	21641300	1
29620527	22055189	1
29620527	22363442	1
29620527	24470030	1
29620527	24955938	1
29620527	26609160	1
29620527	26807783	1
29620527	26835539	1
29620527	27584618	1
29620527	28618495	1
29620527	28902568	1
29620527	29253507	1
29620527	18351872	0
29620527	20957107	0
29620527	23912807	0
29620527	28582616	0
29490647	18218163	2
29490647	22233544	2
29490647	22624634	2
29490647	22792877	2
29490647	22980697	2
29490647	23514665	2
29490647	25495034	2
29490647	27834600	2
29490647	28669355	2
29490647	28703087	2
29490647	28712620	2
29490647	28956521	2
29490647	29538676	2
29490647	18601792	1
29490647	20584360	1
29490647	25466570	1
29490647	25635374	1
29490647	26499414	1
29490647	28303438	1
29490647	28472962	1
29490647	28476159	1
29490647	28486953	1
29490647	28545430	1
29490647	28886735	1
29490647	28886740	1
29490647	29062528	1
29490647	29433132	1
29490647	29843702	1
29490647	18601794	0
29490647	19500434	0
29490647	19538814	0
29490647	19888793	0
29490647	19958718	0
29490647	20030888	0
29490647	20030894	0
29490647	20030898	0
29490647	20579285	0
29490647	21289899	0
29490647	21736860	0
29490647	25747556	0
29490647	26044729	0
29490647	26283965	0
29490647	26354129	0
29490647	28407993	0
29490647	29455685	0
27003869	19347650	2
27003869	19965431	2
27003869	20084295	2
27003869	20210987	2
27003869	20587069	2
27003869	21707621	2
27003869	22152063	2
27003869	22207165	2
27003869	22238659	2
27003869	22665276	2
27003869	22948437	2
27003869	23107918	2
27003869	23295340	2
27003869	23555290	2
27003869	24274033	2
27003869	24312619	2
27003869	24581176	2
27003869	25196513	2
27003869	25196916	2
27003869	25227227	2
27003869	25539568	2
27003869	25620879	2
27003869	25656221	2
27003869	25703261	2
27003869	25851953	2
27003869	25873920	2
27003869	25881062	2
27003869	26269219	2
27003869	26311018	2
27003869	26566820	2
27003869	26566821	2
27003869	26566823	2
27003869	26566824	2
27003869	27005772	2
27003869	27112659	2
27003869	27499678	2
27003869	27696619	2
27003869	27895664	2
27003869	28125967	2
27003869	28132151	2
27003869	28284542	2
27003869	28669791	2
27003869	28928764	2
27003869	29356847	2
27003869	29283996	1
28211195	18210097	2
28211195	18422385	2
28211195	20082539	2
28211195	20385190	2
28211195	20860972	2
28211195	22365782	2
28211195	23189613	2
28211195	23362829	2
28211195	24052113	2
28211195	25796997	2
28211195	25842975	2
28211195	26028474	2
28211195	26120539	2
28211195	26297571	2
28211195	26316202	2
28211195	26374217	2
28211195	26482927	2
28211195	26633964	2
28211195	27084259	2
28211195	27352914	2
28211195	27574626	2
28211195	27904819	2
28211195	28382858	2
28211195	28510497	2
28211195	28882831	2
28211195	29730080	2
28211195	18696141	1
28211195	22912563	1
28211195	25175054	1
28211195	29714521	1
28211195	21981437	0
28211195	22373513	0
28211195	25715580	0
28211195	25870434	0
28211195	27461251	0
28211195	29740935	0
29673180	20422842	2
29673180	21362601	2
29673180	23244495	2
29673180	23668869	2
29673180	23758643	2
29673180	23812910	2
29673180	24413922	2
29673180	24789688	2
29673180	25182393	2
29673180	25324867	2
29673180	25370043	2
29673180	25541118	2
29673180	26056819	2
29673180	26178382	2
29673180	26458495	2
29673180	26740943	2
29673180	26956402	2
29673180	27322474	2
29673180	27838393	2
29673180	28924536	2
29673180	29618358	2
29673180	18280349	1
29673180	18634177	1
29673180	18700436	1
29673180	18937200	1
29673180	19344304	1
29673180	19366998	1
29673180	19449407	1
29673180	19539839	1
29673180	19650418	1
29673180	19845691	1
29673180	20927530	1
29673180	21732117	1
29673180	21909069	1
29673180	22869071	1
29673180	22870550	1
29673180	23624750	1
29673180	23954459	1
29673180	25234363	1
29673180	25293717	1
29673180	26564071	1
29673180	27439996	1
29750193	18925875	2
29750193	19244117	2
29750193	19402821	2
29750193	19487463	2
29750193	20308064	2
29750193	20491627	2
29750193	21131356	2
29750193	21190521	2
29750193	21965657	2
29750193	22110663	2
29750193	22168436	2
29750193	22305748	2
29750193	22408430	2
29750193	23694989	2
29750193	23863152	2
29750193	24558442	2
29750193	24780124	2
29750193	25688110	2
29750193	25738366	2
29750193	25906254	2
29750193	27059097	2
29750193	28189457	2
29750193	29408410	2
29750193	18235224	1
29750193	18276828	1
29750193	18851840	1
29750193	19281842	1
29750193	21413931	1
29750193	21931802	1
29750193	22354785	1
29750193	23482748	1
29750193	23938603	1
29750193	24002888	1
29750193	24726895	1
29750193	25261849	1
29750193	25442674	1
29750193	26755732	1
29750193	28300280	1
29750193	19302577	0
29750193	21871173	0
29750193	23462168	0
29468054	17967852	2
29468054	18090864	2
29468054	18697570	2
29468054	19610522	2
29468054	20095126	2
29468054	20214581	2
29468054	20364755	2
29468054	21963417	2
29468054	24066905	2
29468054	24363708	2
29468054	24995175	2
29468054	25241696	2
29468054	25897961	2
29468054	26086336	2
29468054	26862383	2
29468054	27761077	2
29468054	27899152	2
29468054	28899514	2
29468054	29342216	2
29468054	18830185	1
29468054	20524468	1
29468054	22044289	1
29468054	26178302	1
29468054	26709182	1
29468054	28221858	1
29468054	28483959	1
29574445	22267690	2
29574445	22280514	2
29574445	23454666	2
29574445	23903815	2
29574445	26399575	2
29574445	27240840	2
29574445	27821598	2
29574445	27943039	2
29574445	28348183	2
29574445	28765136	2
29574445	28801393	2
29574445	20178395	1
29574445	22971205	1
29574445	23074521	1
29574445	26112224	1
29574445	27194317	1
29574445	28674147	1
29574445	29593022	1
29574445	21247461	0
29574445	22685224	0
29574445	24690402	0
29574445	24861549	0
29574445	25652804	0
29574445	26209121	0
29574445	26940112	0
29574445	27098820	0
29574445	27113241	0
29574445	27128768	0
29574445	27311900	0
29574445	27449894	0
29574445	27489153	0
29574445	27630071	0
29574445	27909034	0
29574445	28501812	0
29574445	28611089	0
29574445	28648148	0
29574445	28801421	0
29574445	28928175	0
29574445	28972652	0
29574445	29042376	0
29574445	29061630	0
29574445	29502092	0
29574445	29674362	0
29690909	20371479	2
29690909	21566657	2
29690909	21595920	2
29690909	22198207	2
29690909	24030378	2
29690909	24677544	2
29690909	24911793	2
29690909	26376181	2
29690909	27013443	2
29690909	27207791	2
29690909	27757306	2
29690909	27853633	2
29690909	29074605	2
29690909	29138222	2
29690909	29172076	2
29690909	29316944	2
29690909	17710400	1
29690909	18677475	1
29690909	19440216	1
29690909	19648166	1
29690909	21330323	1
29690909	23147993	1
29690909	24750020	1
29690909	25056598	1
29690909	25879549	1
29690909	26041304	1
29690909	26083014	1
29690909	26261316	1
29690909	27479183	1
29690909	27506934	1
29690909	28415689	1
29690909	28668350	1
29690909	28710745	1
29690909	28800175	1
29690909	29142066	1
29690909	29780393	1
29690909	18630483	0
29690909	18760705	0
29690909	23415012	0
29690909	25084614	0
29690909	26603259	0
29690909	27465508	0
29690909	27649555	0
29690909	27956387	0
29673311	19592394	2
29673311	21233522	2
29673311	23314126	2
29673311	24064422	2
29673311	25618863	2
29673311	28108305	2
29673311	28833538	2
29673311	28881217	2
29673311	18704938	1
29673311	19244388	1
29673311	21989082	1
29673311	22046350	1
